Simulation,Time,Population,Species,camouflage,feeding_bonus
4,13,31,Predator,,1.5007092107690545
4,14,0,Prey,0.7610717690762632,
4,14,26,Predator,,1.5007092107690545
4,15,0,Prey,0.7610717690762632,
4,15,22,Predator,,1.5007092107690545
4,16,0,Prey,0.7610717690762632,
4,16,19,Predator,,1.5007092107690545
4,17,0,Prey,0.7610717690762632,
4,17,16,Predator,,1.5007092107690545
4,18,0,Prey,0.7610717690762632,
4,18,13,Predator,,1.5007092107690545
4,19,0,Prey,0.7610717690762632,
4,19,11,Predator,,1.5007092107690545
4,20,0,Prey,0.7610717690762632,
4,20,11,Predator,,1.5007092107690545
4,21,0,Prey,0.7610717690762632,
4,21,10,Predator,,1.5007092107690545
4,22,0,Prey,0.7610717690762632,
4,22,8,Predator,,1.5007092107690545
4,23,0,Prey,0.7610717690762632,
4,23,7,Predator,,1.5007092107690545
4,24,0,Prey,0.7610717690762632,
4,24,7,Predator,,1.5007092107690545
4,25,0,Prey,0.7610717690762632,
4,25,7,Predator,,1.5007092107690545
4,26,0,Prey,0.7610717690762632,
4,26,6,Predator,,1.5007092107690545
4,27,0,Prey,0.7610717690762632,
4,27,5,Predator,,1.5007092107690545
4,28,0,Prey,0.7610717690762632,
4,28,5,Predator,,1.5007092107690545
4,29,0,Prey,0.7610717690762632,
4,29,4,Predator,,1.5007092107690545
4,30,0,Prey,0.7610717690762632,
4,30,3,Predator,,1.5007092107690545
4,31,0,Prey,0.7610717690762632,
4,31,1,Predator,,1.5007092107690545
4,32,0,Prey,0.7610717690762632,
4,32,1,Predator,,1.5007092107690545
4,33,0,Prey,0.7610717690762632,
4,33,1,Predator,,1.5007092107690545
4,34,0,Prey,0.7610717690762632,
4,34,1,Predator,,1.5007092107690545
4,35,0,Prey,0.7610717690762632,
4,35,1,Predator,,1.5007092107690545
4,36,0,Prey,0.7610717690762632,
4,36,1,Predator,,1.5007092107690545
4,37,0,Prey,0.7610717690762632,
4,37,1,Predator,,1.5007092107690545
4,38,0,Prey,0.7610717690762632,
4,38,1,Predator,,1.5007092107690545
4,39,0,Prey,0.7610717690762632,
4,39,1,Predator,,1.5007092107690545
4,40,0,Prey,0.7610717690762632,
4,40,1,Predator,,1.5007092107690545
4,41,0,Prey,0.7610717690762632,
4,41,1,Predator,,1.5007092107690545
4,42,0,Prey,0.7610717690762632,
4,42,1,Predator,,1.5007092107690545
4,43,0,Prey,0.7610717690762632,
4,43,1,Predator,,1.5007092107690545
4,44,0,Prey,0.7610717690762632,
4,44,1,Predator,,1.5007092107690545
4,45,0,Prey,0.7610717690762632,
4,45,0,Predator,,1.5007092107690545
4,46,0,Prey,0.7610717690762632,
4,46,0,Predator,,1.5007092107690545
4,47,0,Prey,0.7610717690762632,
4,47,0,Predator,,1.5007092107690545
4,48,0,Prey,0.7610717690762632,
4,48,0,Predator,,1.5007092107690545
4,49,0,Prey,0.7610717690762632,
4,49,0,Predator,,1.5007092107690545
4,50,0,Prey,0.7610717690762632,
4,50,0,Predator,,1.5007092107690545
4,51,0,Prey,0.7610717690762632,
4,51,0,Predator,,1.5007092107690545
4,52,0,Prey,0.7610717690762632,
4,52,0,Predator,,1.5007092107690545
4,53,0,Prey,0.7610717690762632,
4,53,0,Predator,,1.5007092107690545
4,54,0,Prey,0.7610717690762632,
4,54,0,Predator,,1.5007092107690545
4,55,0,Prey,0.7610717690762632,
4,55,0,Predator,,1.5007092107690545
4,56,0,Prey,0.7610717690762632,
4,56,0,Predator,,1.5007092107690545
4,57,0,Prey,0.7610717690762632,
4,57,0,Predator,,1.5007092107690545
4,58,0,Prey,0.7610717690762632,
4,58,0,Predator,,1.5007092107690545
4,59,0,Prey,0.7610717690762632,
4,59,0,Predator,,1.5007092107690545
5,0,130,Prey,0.7209167926348544,
5,0,70,Predator,,1.488394030410088
5,1,129,Prey,0.7209167926348544,
5,1,85,Predator,,1.488394030410088
5,2,123,Prey,0.7209167926348544,
5,2,82,Predator,,1.488394030410088
5,3,128,Prey,0.7209167926348544,
5,3,91,Predator,,1.488394030410088
5,4,117,Prey,0.7209167926348544,
5,4,110,Predator,,1.488394030410088
5,5,92,Prey,0.7209167926348544,
5,5,129,Predator,,1.488394030410088
5,6,75,Prey,0.7209167926348544,
5,6,141,Predator,,1.488394030410088
5,7,44,Prey,0.7209167926348544,
5,7,149,Predator,,1.488394030410088
5,8,33,Prey,0.7209167926348544,
5,8,150,Predator,,1.488394030410088
5,9,31,Prey,0.7209167926348544,
5,9,146,Predator,,1.488394030410088
5,10,32,Prey,0.7209167926348544,
5,10,140,Predator,,1.488394030410088
5,11,28,Prey,0.7209167926348544,
5,11,138,Predator,,1.488394030410088
5,12,30,Prey,0.7209167926348544,
5,12,128,Predator,,1.488394030410088
5,13,28,Prey,0.7209167926348544,
5,13,122,Predator,,1.488394030410088
5,14,19,Prey,0.7209167926348544,
5,14,116,Predator,,1.488394030410088
5,15,19,Prey,0.7209167926348544,
5,15,111,Predator,,1.488394030410088
5,16,20,Prey,0.7209167926348544,
5,16,108,Predator,,1.488394030410088
5,17,9,Prey,0.7209167926348544,
5,17,104,Predator,,1.488394030410088
5,18,5,Prey,0.7209167926348544,
5,18,94,Predator,,1.488394030410088
5,19,5,Prey,0.7209167926348544,
5,19,92,Predator,,1.488394030410088
5,20,7,Prey,0.7209167926348544,
5,20,84,Predator,,1.488394030410088
5,21,4,Prey,0.7209167926348544,
5,21,77,Predator,,1.488394030410088
5,22,1,Prey,0.7209167926348544,
5,22,69,Predator,,1.488394030410088
5,23,2,Prey,0.7209167926348544,
5,23,60,Predator,,1.488394030410088
5,24,3,Prey,0.7209167926348544,
5,24,58,Predator,,1.488394030410088
5,25,2,Prey,0.7209167926348544,
5,25,53,Predator,,1.488394030410088
5,26,1,Prey,0.7209167926348544,
5,26,50,Predator,,1.488394030410088
5,27,2,Prey,0.7209167926348544,
5,27,47,Predator,,1.488394030410088
5,28,1,Prey,0.7209167926348544,
5,28,43,Predator,,1.488394030410088
5,29,1,Prey,0.7209167926348544,
5,29,38,Predator,,1.488394030410088
5,30,1,Prey,0.7209167926348544,
5,30,34,Predator,,1.488394030410088
5,31,2,Prey,0.7209167926348544,
5,31,29,Predator,,1.488394030410088
5,32,3,Prey,0.7209167926348544,
5,32,27,Predator,,1.488394030410088
5,33,2,Prey,0.7209167926348544,
5,33,26,Predator,,1.488394030410088
5,34,3,Prey,0.7209167926348544,
5,34,23,Predator,,1.488394030410088
5,35,2,Prey,0.7209167926348544,
5,35,22,Predator,,1.488394030410088
5,36,2,Prey,0.7209167926348544,
5,36,19,Predator,,1.488394030410088
5,37,3,Prey,0.7209167926348544,
5,37,18,Predator,,1.488394030410088
5,38,2,Prey,0.7209167926348544,
5,38,18,Predator,,1.488394030410088
5,39,3,Prey,0.7209167926348544,
5,39,16,Predator,,1.488394030410088
5,40,3,Prey,0.7209167926348544,
5,40,15,Predator,,1.488394030410088
5,41,2,Prey,0.7209167926348544,
5,41,13,Predator,,1.488394030410088
5,42,1,Prey,0.7209167926348544,
5,42,11,Predator,,1.488394030410088
5,43,0,Prey,0.7209167926348544,
5,43,9,Predator,,1.488394030410088
5,44,0,Prey,0.7209167926348544,
5,44,7,Predator,,1.488394030410088
5,45,0,Prey,0.7209167926348544,
5,45,7,Predator,,1.488394030410088
5,46,0,Prey,0.7209167926348544,
5,46,7,Predator,,1.488394030410088
5,47,0,Prey,0.7209167926348544,
5,47,4,Predator,,1.488394030410088
5,48,0,Prey,0.7209167926348544,
